# SO-MAO-TO: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) April 1, 2017",1835.56,1908.92,1985.30,2064.70,2147.29,2233.10,2322.47,2415.33
"A) April 1, 2018",1886.96,1962.38,2040.88,2122.51,2207.41,2295.61,2387.50,2482.96
"B) April 1, 2019",1928.47,2005.56,2085.79,2169.20,2255.98,2346.12,2440.03,2537.58
"C) April 1, 2020",1957.39,2035.65,2117.07,2201.74,2289.83,2381.31,2476.64,2575.65
"D) April 1, 2021",1986.76,2066.18,2148.82,2234.76,2324.17,2417.03,2513.78,2614.29
"E) April 1, 2022",2056.29,2138.49,2224.03,2312.98,2405.51,2501.63,2601.77,2705.78
"W) April 1, 2022 : wage adjustment",2081.99,2165.23,2251.84,2341.90,2435.58,2532.91,2634.30,2739.61
"F) April 1, 2023",2144.45,2230.18,2319.40,2412.16,2508.64,2608.90,2713.32,2821.80
"X) December 21, 2023 : market adjustment",2230.24,2319.38,2412.18,2508.64,2609.00,2713.26,2821.85,2934.66
"G) April 1, 2024",2274.84,2365.76,2460.42,2558.82,2661.19,2767.52,2878.30,2993.35
"Y) April 1, 2024 : wage adjustment",2280.53,2371.68,2466.57,2565.22,2667.84,2774.44,2885.48,3000.82
"Z) April 1, 2025",2326.15,2419.12,2515.91,2616.53,2721.19,2829.92,2943.19,3060.83

# SO-INS-2: hourly rates of pay
# Section: Appendix “D”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) April 1, 2017",45.89,47.72,49.63,51.62,53.68,55.83,58.06,60.38
"A) April 1, 2018",47.17,49.06,51.02,53.06,55.19,57.39,59.69,62.07
"B) April 1, 2019",48.21,50.14,52.14,54.23,56.40,58.65,61.00,63.44
"C) April 1, 2020",48.93,50.89,52.93,55.04,57.25,59.53,61.92,64.39
"D) April 1, 2021",49.67,51.65,53.72,55.87,58.10,60.43,62.84,65.36
"E) April 1, 2022",51.41,53.46,55.60,57.82,60.14,62.54,65.04,67.64
"W) April 1, 2022 : wage adjustment",52.05,54.13,56.30,58.55,60.89,63.32,65.86,68.49
"F) April 1, 2023",53.61,55.75,57.99,60.30,62.72,65.22,67.83,70.55
"X) December 21, 2023 : market adjustment",55.76,57.98,60.30,62.72,65.23,67.83,70.55,73.37
"G) April 1, 2024",56.87,59.14,61.51,63.97,66.53,69.19,71.96,74.83
"Y) April 1, 2024 : wage adjustment",57.01,59.29,61.66,64.13,66.70,69.36,72.14,75.02
"Z) April 1, 2025",58.15,60.48,62.90,65.41,68.03,70.75,73.58,76.52

